,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,0.2602739726027397,3,0.14681821751930385,15,0.8,2,4,3,1,1,0.0,0.0,0.5,10
1,0.1095890410958904,3,0.12484122233747803,15,0.8,3,4,0,1,1,0.0,0.0,0.5,10
2,0.7534246575342466,3,0.1272137465569961,1,0.7333333333333333,6,7,0,1,0,0.0,0.0,0.3979591836734694,10
3,0.5205479452054794,3,0.12241656216907214,0,0.5333333333333333,1,7,0,1,1,0.0,0.0,0.3979591836734694,10
4,0.3698630136986301,3,0.12074008672171861,11,0.6,2,12,3,1,1,0.0,0.0,0.4489795918367347,10
5,0.3287671232876712,3,0.05530202287481685,0,0.5333333333333333,3,6,4,4,0,0.0,0.0,0.3979591836734694,10
6,0.0410958904109589,3,0.08421919307092926,11,0.6,3,12,1,1,1,0.0,0.0,0.3979591836734694,10
7,0.410958904109589,3,0.2523136173681773,1,0.7333333333333333,2,12,3,1,1,0.0,0.0,0.3979591836734694,10
8,0.7397260273972602,3,0.06425451009812391,11,0.6,2,12,3,1,1,0.03432034320343203,0.0,0.19387755102040816,10
9,0.3287671232876712,3,0.09414059643525528,15,0.8,3,12,0,1,1,0.0,0.0,0.3979591836734694,10
10,0.2465753424657534,3,0.13636529831242028,0,0.5333333333333333,2,10,3,2,1,0.0,0.0,0.3979591836734694,0
11,0.0136986301369863,3,0.08136051805528847,0,0.5333333333333333,3,3,1,1,0,0.0,0.0,0.3979591836734694,10
12,0.0821917808219178,3,0.09076800992343463,0,0.5333333333333333,1,8,4,1,0,0.0,0.0,0.29591836734693877,10
13,0.547945205479452,3,0.0403268179195996,15,0.8,2,4,3,1,1,0.0,0.0,0.3979591836734694,10
14,0.5342465753424658,0,0.031602510108957364,12,0.06666666666666667,3,4,0,3,1,0.0,0.0,0.6530612244897959,10
15,0.1095890410958904,5,0.298896072064069,11,0.6,3,9,1,1,0,0.0,0.0,0.3469387755102041,10
16,0.6438356164383562,0,0.219961568357677,2,0.6666666666666666,2,12,5,1,0,0.0,0.0,0.14285714285714285,10
17,0.2465753424657534,0,0.11654686683259892,15,0.8,3,12,1,1,0,0.0,0.0,0.3979591836734694,10
18,0.6027397260273972,3,0.059589358308032726,2,0.6666666666666666,2,3,3,1,1,0.0,0.0,0.3979591836734694,10
19,0.2602739726027397,2,0.0155087520685107,15,0.8,1,12,0,1,0,0.0,0.0,0.5510204081632653,10
20,0.0136986301369863,3,0.17810723484468904,3,0.4666666666666667,3,9,1,4,0,0.0,0.0,0.14285714285714285,10
21,0.0547945205479452,3,0.18990756363971215,11,0.6,5,9,1,4,0,0.0,0.0,0.19387755102040816,10
